Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish
DASANI® Bottled Water,479g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Honest Kids® Apple Juice,170g,35,0.0,0.0,0.0,0,15,9,0,8,0,0,0,0,0,0,0
Simply Orange®,326g,160,0.0,0.0,0.0,0,10,34,0,30,2,0,0,0,0,0,0
1% Chocolate Milk,198g,140,2.0,1.5,0.0,10,160,23,0,21,7,1,0,0,0,0,0
1% Milk,213g,90,2.0,1.5,0.0,10,105,10,0,10,7,1,0,0,0,0,0
Coffee,340g,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0,0,0
5 lb Bag of Ice,28g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Small Freshly-Brewed Iced Tea Sweetened,201g,70,0.0,0.0,0.0,0,5,19,0,19,0,0,0,0,0,0,0
Medium Freshly-Brewed Iced Tea Sweetened,320g,120,0.0,0.0,0.0,0,10,31,0,31,0,0,0,0,0,0,0
Large Freshly-Brewed Iced Tea Sweetened,447g,170,0.0,0.0,0.0,0,10,43,0,43,0,0,0,0,0,0,0
Small Freshly-Brewed Iced Tea Unsweetened,403g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Freshly-Brewed Iced Tea Unsweetened,547g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Large Freshly-Brewed Iced Tea Unsweetened,839g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Small Chick-fil-A® Lemonade,235g,130,0.0,0.0,0.0,0,5,33,0,31,0,0,0,0,0,0,0
Medium Chick-fil-A® Lemonade,410g,220,0.0,0.0,0.0,0,10,58,0,55,0,0,0,0,0,0,0
Large Chick-fil-A® Lemonade,552g,300,0.0,0.0,0.0,0,15,78,0,74,0,0,0,0,0,0,0
Small Chick-fil-A® Diet Lemonade,235g,30,0.0,0.0,0.0,0,5,8,0,6,0,0,0,0,0,0,0
Medium Chick-fil-A® Diet Lemonade,410g,50,0.0,0.0,0.0,0,10,14,0,10,0,0,0,0,0,0,0
Large Chick-fil-A® Diet Lemonade,611g,80,0.0,0.0,0.0,0,15,21,0,15,0,0,0,0,0,0,0
"Small Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",419g,120,0.0,0.0,0.0,0,0,33,0,32,0,0,0,0,0,0,0
"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",557g,170,0.0,0.0,0.0,0,0,45,0,43,0,0,0,0,0,0,0
"Large Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",861g,260,0.0,0.0,0.0,0,0,70,0,67,0,0,0,0,0,0,0
"Small Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",412g,80,0.0,0.0,0.0,0,0,20,0,19,0,0,0,0,0,0,0
"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",551g,100,0.0,0.0,0.0,0,0,25,0,24,0,0,0,0,0,0,0
"Large Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",839g,140,0.0,0.0,0.0,0,5,38,0,35,0,0,0,0,0,0,0
"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",382g,60,0.0,0.0,0.0,0,0,17,0,16,0,0,0,0,0,0,0
"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",551g,90,0.0,0.0,0.0,0,0,25,0,23,0,0,0,0,0,0,0
"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",839g,140,0.0,0.0,0.0,0,0,39,0,36,0,0,0,0,0,0,0
"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",422g,15,0.0,0.0,0.0,0,0,4,0,3,0,0,0,0,0,0,0
"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",551g,20,0.0,0.0,0.0,0,0,6,0,4,0,0,0,0,0,0,0
"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",839g,35,0.0,0.0,0.0,0,5,9,0,7,0,0,0,0,0,0,0
Small Coca-Cola®,241g,100,0.0,0.0,0.0,0,35,27,0,27,0,0,0,0,0,0,0
Medium Coca-Cola®,354g,140,0.0,0.0,0.0,0,50,40,0,40,0,0,0,0,0,0,0
Large Coca-Cola®,567g,230,0.0,0.0,0.0,0,75,64,0,64,0,0,0,0,0,0,0
Small Dr Pepper®,320g,140,0.0,0.0,0.0,0,55,36,0,35,0,0,0,0,0,0,0
Medium Dr Pepper®,434g,180,0.0,0.0,0.0,0,75,48,0,47,0,0,0,0,0,0,0
Large Dr Pepper®,638g,270,0.0,0.0,0.0,0,110,71,0,69,0,0,0,0,0,0,0
Gallon Chick-fil-A® Lemonade,3884g,2090,1.5,0.0,0.0,0,95,549,2,517,2,0,0,0,0,0,0
Gallon Chick-fil-A® Diet Lemonade,3714g,460,1.5,0.0,0.0,0,95,126,2,91,3,0,0,0,0,0,0
Gallon Freshly-Brewed Iced Tea Sweetened,4167g,1540,0.0,0.0,0.0,0,115,398,0,397,0,0,0,0,0,0,0
Gallon Freshly-Brewed Iced Tea Unsweetened,3808g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",4176g,1830,0.0,0.0,0.0,0,0,496,0,475,0,0,0,0,0,0,0
"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",3997g,1030,1.0,0.0,0.0,0,50,270,1,252,1,0,0,0,0,0,0
"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",3898g,1040,0.0,0.0,0.0,0,0,291,0,271,0,0,0,0,0,0,0
"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",3719g,240,1.0,0.0,0.0,0,50,65,1,47,1,0,0,0,0,0,0
Side Salad,166g,470,42.0,8.0,0.0,35,690,16,4,5,7,1,0,0,1,0,0
Kale Crunch Side,61g,120,9.0,1.0,0.0,0,140,8,2,3,3,0,0,0,0,1,0
Waffle Potato Chips,43g,220,13.0,3.5,0.0,0,250,25,2,0,3,0,0,0,0,0,0
Buddy Fruits® Apple Sauce,90g,45,0.0,0.0,0.0,0,0,12,1,8,0,0,0,0,0,0,0
Small Chick-fil-A Waffle Potato Fries®,96g,320,19.0,3.0,0.0,0,190,35,4,1,4,0,0,0,0,0,0
Medium Chick-fil-A Waffle Potato Fries®,125g,420,24.0,4.0,0.0,0,240,45,5,1,5,0,0,0,0,0,0
Large Chick-fil-A Waffle Potato Fries®,179g,600,35.0,5.0,0.0,0,340,65,7,1,7,0,0,0,0,0,0
Small Fruit Cup,102g,50,0.0,0.0,0.0,0,0,13,2,9,1,0,0,0,0,0,0
Medium Fruit Cup,119g,60,0.0,0.0,0.0,0,0,15,2,11,1,0,0,0,0,0,0
Small Mac & Cheese,136g,270,17.0,10.0,0.0,40,710,17,2,2,12,1,0,0,1,0,0
Medium Mac & Cheese,227g,450,29.0,16.0,0.0,70,1190,28,3,3,20,1,0,0,1,0,0
Cup of Chicken Noodle Soup,233g,170,4.0,1.0,0.0,30,1220,25,1,1,10,1,1,1,1,0,0
Bowl of Chicken Noodle Soup,422g,280,6.0,2.0,0.0,55,2060,38,2,2,17,1,1,1,1,0,0
Greek Yogurt Parfait w/ Granola,221g,270,9.0,3.5,0.0,20,80,36,1,26,13,1,0,0,0,1,0
Greek Yogurt Parfait w/ Cookie Crumbs,195g,240,8.0,3.5,0.0,20,85,31,1,25,12,1,0,1,1,0,0
Saltines,12g,50,1.0,0.0,0.0,0,180,9,0,0,1,0,0,0,1,0,0
Chick-fil-A® Chicken Sandwich,183g,440,17.0,4.0,0.0,70,1400,41,1,6,29,1,1,1,1,0,0
Spicy Chicken Sandwich,188g,460,19.0,4.0,0.0,65,1670,45,2,6,28,1,1,1,1,0,0
Grilled Chicken Sandwich,218g,380,12.0,2.0,0.0,75,760,43,3,11,28,0,1,0,1,0,0
Chick-fil-A® Cool Wrap,231g,660,45.0,9.0,0.0,110,1420,32,14,5,43,1,0,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ American,247g,500,22.0,7.0,0.0,85,1640,44,2,7,32,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ Colby Jack,254g,530,24.0,8.0,0.0,90,1550,44,2,7,35,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,254g,520,24.0,8.0,0.0,90,1550,44,2,7,34,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ No Cheese,233g,450,17.0,4.0,0.0,70,1410,43,2,7,30,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ Pepper Jack,259g,550,25.0,8.0,0.0,85,1810,47,3,7,33,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ American,252g,520,23.0,7.0,0.0,80,1910,47,3,7,31,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ Colby Jack,259g,550,25.0,8.0,0.0,85,1820,47,3,7,34,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ No Cheese,238g,470,19.0,4.5,0.0,65,1670,47,3,7,29,1,1,1,1,0,0
Grilled Chicken Club w/ Colby Jack,249g,520,22.0,8.0,0.0,105,1110,44,3,12,37,1,1,0,1,0,0
Grilled Chicken Club w/ American,242g,490,20.0,6.0,0.0,100,1200,44,3,12,35,1,1,0,1,0,0
Grilled Chicken Club w/ Pepper Jack,249g,510,22.0,7.0,0.0,105,1110,44,3,11,37,1,1,0,1,0,0
Grilled Chicken Club w/ No Cheese,228g,430,15.0,3.5,0.0,85,970,44,3,11,32,0,1,0,1,0,0
5 ct Chick-fil-A® Nuggets,71g,160,7.0,1.5,0.0,50,760,7,0,1,17,1,1,0,1,0,0
8 ct Chick-fil-A® Nuggets,113g,250,11.0,2.5,0.0,85,1210,11,0,1,27,1,1,0,1,0,0
12 ct Chick-fil-A® Nuggets,170g,380,17.0,3.5,0.0,125,1820,16,0,1,40,1,1,0,1,0,0
30 ct Chick-fil-A® Nuggets,425g,950,43.0,9.0,0.0,315,4550,41,0,4,100,1,1,0,1,0,0
5 ct Grilled Nuggets,59g,80,2.0,0.0,0.0,55,270,1,0,0,16,0,0,0,0,0,0
8 ct Grilled Nuggets,95g,130,3.0,0.5,0.0,85,440,1,0,1,25,0,0,0,0,0,0
12 ct Grilled Nuggets,142g,200,4.5,1.0,0.0,130,660,2,0,1,38,0,0,0,0,0,0
2 ct Chick-fil-A Chick-n-Strips®,91g,200,9.0,2.0,0.0,50,580,11,0,1,19,1,1,0,1,0,0
3 ct Chick-fil-A Chick-n-Strips®,136g,310,14.0,2.5,0.0,75,870,16,0,2,29,1,1,0,1,0,0
4 ct Chick-fil-A Chick-n-Strips®,181g,410,19.0,3.5,0.0,100,1150,22,0,2,39,1,1,0,1,0,0
Grilled Breakfast Filet,50g,60,1.0,0.0,0.0,40,420,0,0,0,13,0,0,0,0,0,0
Bacon,10g,50,3.5,1.5,0.0,10,210,0,0,0,4,0,0,0,0,0,0
Chick-fil-A® Breakfast Filet,72g,160,8.0,1.5,0.0,45,750,8,0,2,15,1,1,0,1,0,0
Sausage,57g,240,22.0,8.0,0.0,35,430,1,0,0,11,0,0,0,0,0,0
Spicy Breakfast Filet,62g,130,6.0,1.5,0.0,35,710,6,1,1,14,1,1,1,1,0,0
Grilled Filet,84g,110,2.0,0.0,0.0,70,370,1,0,1,21,0,0,0,0,0,0
Spicy Filet,120g,280,13.0,2.5,0.0,65,1390,16,1,2,23,1,1,1,1,0,0
Chick-fil-A® Filet,115g,250,12.0,2.5,0.0,70,1120,12,0,1,24,1,1,0,1,0,0
8oz Chick-fil-A® Sauce,226g,1140,103.0,17.0,1.5,70,1390,50,1,47,2,0,1,0,0,0,0
8oz Polynesian Sauce,224g,860,48.0,8.0,0.5,0,1680,107,2,102,1,0,0,0,0,0,0
8oz Garden Herb Ranch Sauce,226g,1100,117.0,20.0,2.0,95,1780,8,0,5,4,1,1,0,0,0,0
8oz Honey Mustard Sauce,227g,380,3.0,0.0,0.0,0,1250,88,1,78,2,0,0,0,0,0,0
8oz Barbeque Sauce,226g,360,0.0,0.0,0.0,0,1560,88,2,71,2,0,0,0,0,0,0
Cobb Salad w/ Nuggets,413g,850,61.0,13.0,0.0,235,2220,34,5,9,42,1,1,0,1,0,0
Cobb Salad w/ Spicy Grilled Filet (Cold),390g,710,51.0,11.0,0.0,220,1770,25,6,9,36,1,1,1,1,0,0
Cobb Salad w/ Spicy Chick-n-Strips®,427g,860,60.0,13.0,0.0,215,2560,36,6,8,42,1,1,1,1,0,0
Cobb Salad w/ Grilled Nuggets,394g,730,52.0,11.0,0.0,240,1450,24,6,9,41,1,1,0,1,0,0
Cobb Salad w/ Chick-fil-A Chick-n-Strips®,436g,910,63.0,13.0,0.0,230,1870,40,6,10,45,1,1,0,1,0,0
Cobb Salad w/ Grilled Filet (Cold),384g,700,51.0,11.0,0.0,225,1380,25,5,9,37,1,1,0,1,0,0
Cobb Salad w/ Chick-fil-A® Filet,415g,850,61.0,13.0,0.0,225,2130,36,6,10,40,1,1,0,1,0,0
Cobb Salad w/ Spicy Filet,420g,870,62.0,13.0,0.0,220,2390,40,6,10,39,1,1,1,1,0,0
Cobb Salad w/ Grilled Filet (Warm),384g,700,51.0,11.0,0.0,225,1380,25,5,9,37,1,1,0,1,0,0
Cobb Salad w/ No Chicken,300g,600,49.0,11.0,0.0,155,1010,23,5,9,16,1,1,0,1,0,0
Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),424g,690,49.0,10.0,0.0,100,1570,29,8,8,33,1,0,1,0,0,0
Spicy Southwest Salad w/ Spicy Chick-fil-A Chick-n-Strips®,468g,850,58.0,11.0,0.0,105,2400,40,8,7,41,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Filet (Cold),424g,690,49.0,9.5,0.0,110,1220,29,7,8,35,1,0,1,0,0,0
Spicy Southwest Salad w/ Nuggets,452g,840,58.0,12.0,0.0,120,2060,38,7,8,41,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Nuggets,434g,720,50.0,10.0,0.0,125,1280,29,8,8,39,1,0,1,0,0,0
Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,475g,890,61.0,12.0,0.0,115,1710,44,8,9,43,1,1,1,1,0,0
Spicy Southwest Salad w/ Chick-fil-A® Filet,454g,840,59.0,12.0,0.0,110,1960,40,8,9,38,1,1,1,1,0,0
Spicy Southwest Salad w/ Spicy Filet,459g,860,60.0,12.0,0.0,105,2230,44,8,9,37,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Filet (Warm),424g,690,49.0,9.5,0.0,110,1220,29,7,8,35,1,0,1,0,0,0
Spicy Southwest Salad w/ No Chicken,339g,590,47.0,9.5,0.0,35,840,27,7,7,14,1,0,0,0,0,0
Grilled Market Salad w/ Grilled Filet (Cold),321g,540,31.0,6.0,0.0,80,1020,41,5,26,28,1,0,0,0,1,0
Grilled Market Salad w/ Spicy Grilled Filet (Cold),326g,540,31.0,6.0,0.0,75,1370,42,6,27,26,1,0,1,0,1,0
Grilled Market Salad w/ Chick-fil-A Chick-n-Strips®,377g,750,43.0,8.0,0.0,85,1520,57,5,27,36,1,1,0,1,1,0
Grilled Market Salad w/ Spicy Chick-n-Strips™️,370g,710,40.0,7.5,0.0,75,2200,56,6,27,34,1,1,1,1,1,0
Grilled Market Salad w/ Nuggets,354g,690,40.0,8.0,0.0,90,1860,51,5,27,34,1,1,0,1,1,0
Grilled Market Salad w/ Grilled Nuggets,335g,570,32.0,6.5,0.0,95,1090,41,6,27,32,1,0,0,0,1,0
Grilled Market Salad w/ Chick-fil-A® Filet,356g,690,41.0,8.0,0.0,80,1770,53,5,27,31,1,1,0,1,1,0
Grilled Market Salad w/ Spicy Filet,361g,720,42.0,8.0,0.0,75,2040,56,6,27,30,1,1,1,1,1,0
Grilled Market Salad w/ Grilled Filet (Warm),325g,550,31.0,6.0,0.0,80,1020,42,5,26,28,1,0,0,0,1,0
Grilled Market Salad w/ No Chicken,241g,440,29.0,5.5,0.0,10,650,40,5,26,7,1,0,0,0,1,0
Chili Lime Pepitas,14g,80,7.0,1.0,0.0,0,50,2,1,0,4,0,0,0,0,0,0
Crispy Bell Peppers,14g,80,6.0,0.0,0.0,0,75,6,0,0,1,0,0,0,1,0,0
Harvest Nut Granola,14g,70,2.0,0.0,0.0,0,35,10,0,4,1,0,0,0,0,1,0
Roasted Nut Blend,10g,70,6.0,0.5,0.0,0,0,2,1,1,1,0,0,0,0,1,0
Seasoned Tortilla Strips,14g,70,4.0,0.0,0.0,0,55,8,1,0,1,1,0,0,0,0,0
Lemon Parmesan Panko,0g,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Chick-fil-A® Nugget Trays,14g,30,1.5,0.0,0.0,10,150,1,0,0,3,1,1,0,1,0,0
Chilled Chick-fil-A® Nugget Trays,14g,30,1.5,0.0,0.0,10,150,1,0,0,3,1,1,0,1,0,0
Hot Chick-n-Strips® Trays,48g,110,5.0,1.0,0.0,25,300,6,0,1,10,1,1,0,1,0,0
Chilled Chick-n-Strips® Trays,48g,110,5.0,1.0,0.0,25,300,6,0,1,10,1,1,0,1,0,0
Chilled Grilled Chicken Sub Sandwich Tray,115g,220,6.0,2.5,0.0,50,450,24,0,5,18,1,0,1,1,0,0
Spicy Chilled Grilled Chicken Sub Sandwich Tray,115g,210,6.0,2.5,0.0,40,590,24,0,5,16,1,0,1,1,0,0
Chick-fil-A® Cool Wrap Trays,116g,480,39.0,7.0,0.0,70,970,18,7,3,22,1,0,1,1,0,0
Chocolate Chunk Cookie Tray,78g,370,17.0,9.0,0.0,15,230,49,3,26,5,1,1,1,1,0,0
Chocolate Fudge Brownie Tray,43g,190,10.0,3.5,0.0,35,75,24,1,18,2,1,1,1,1,0,0
Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray,120g,560,28.0,13.0,0.0,50,300,73,4,44,7,1,1,1,1,0,0
Hearty Breast of Chicken Soup 64 oz  (per container),1625g,880,23.0,9.0,0.0,250,6920,104,12,8,65,1,1,1,1,0,0
Small Fruit Tray  (per tray),1446g,780,0.0,0.0,0.0,0,0,182,29,134,8,0,0,0,0,0,0
Large Fruit Tray  (per tray),2948g,1580,0.0,0.0,0.0,0,0,369,58,273,16,0,0,0,0,0,0
Small Mac & Cheese Tray  (per tray),2481g,4920,312.0,178.0,3.5,750,13020,308,31,36,221,1,1,1,1,0,0
Large Mac & Cheese Tray  (per tray),4961g,9850,624.0,355.0,7.0,1500,26050,616,63,71,442,1,1,1,1,0,0
Small Garden Salad Tray  (per tray),595g,350,19.0,11.0,0.5,55,410,27,10,13,20,1,0,0,0,0,0
Large Garden Salad Tray  (per tray),1191g,690,37.0,23.0,1.5,110,810,54,19,26,41,1,0,0,0,0,0
Small Kale Crunch Side Tray  (per tray),510g,570,37.0,6.0,0.0,0,1120,56,12,30,11,0,0,0,0,0,0
Large Kale Crunch Side Tray  (per tray),1134g,1260,81.0,12.0,1.0,0,2480,125,27,66,24,0,0,0,0,0,0
Chick-fil-A® Chicken Biscuit,153g,460,23.0,8.0,0.0,45,1510,45,2,6,19,1,1,1,1,0,0
Spicy Chicken Biscuit,144g,430,21.0,8.0,0.0,35,1470,43,3,5,17,1,1,1,1,0,0
Egg White Grill,172g,290,8.0,3.5,0.0,60,980,30,1,2,26,1,1,1,1,0,0
"Chicken, Egg & Cheese Biscuit",206g,530,27.0,11.0,0.0,215,1830,45,2,7,26,1,1,1,1,0,0
"Bacon, Egg & Cheese Biscuit",145g,420,23.0,11.0,0.0,180,1290,38,2,4,15,1,1,1,1,0,0
"Sausage, Egg & Cheese Biscuit",191g,610,42.0,18.0,0.0,205,1510,38,2,4,22,1,1,1,1,0,0
"Chicken, Egg, & Cheese Muffin",190g,420,19.0,6.0,0.0,215,1350,37,1,4,27,1,1,1,1,0,0
"Bacon, Egg & Cheese Muffin",129g,310,14.0,6.0,0.0,180,810,29,1,2,16,1,1,1,1,0,0
"Sausage, Egg & Cheese Muffin",175g,500,33.0,12.0,0.0,205,1030,30,1,2,23,1,1,1,1,0,0
Buttered Biscuit,82g,290,15.0,6.0,0.0,0,760,37,2,4,4,1,0,1,1,0,0
English Muffin,61g,140,2.0,0.0,0.0,0,220,29,1,1,5,0,0,0,1,0,0
Hash Browns,77g,270,18.0,2.5,0.0,0,440,23,3,0,3,0,0,0,0,0,0
4 Chick-fil-A Chick-n-Minis™,127g,360,13.0,4.0,0.0,60,1060,41,2,8,20,1,1,1,1,0,0
10 ct Chick-fil-A Chick-n-Minis™,318g,910,34.0,10.0,0.0,150,2640,103,6,19,49,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Nuggets,302g,700,40.0,12.0,0.5,415,1750,51,3,2,34,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Sausage,283g,720,47.0,16.0,0.5,395,1450,46,3,1,28,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Grilled Filet,300g,650,36.0,12.0,0.5,415,1620,46,3,2,35,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chick-n-Strips™️,294g,670,38.0,12.0,0.5,355,1720,52,5,2,31,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chicken,302g,690,40.0,12.0,0.5,405,1790,51,4,2,33,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Nuggets - no hash browns,259g,550,30.0,11.0,0.5,415,1500,38,2,2,33,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Sausage - no hash browns,247g,690,48.0,19.0,0.5,415,1310,32,1,1,32,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,257g,500,25.0,10.0,0.5,415,1370,34,2,2,34,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chick-n-Strips™️ - no hash browns,240g,560,31.0,11.0,0.5,360,1470,38,3,1,32,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns,259g,550,29.0,11.0,0.5,405,1540,38,2,2,32,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Nuggets,233g,470,30.0,9.0,0.0,415,1340,19,2,2,29,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Sausage,212g,480,37.0,12.0,0.0,395,1020,15,2,1,23,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Grilled Filet,229g,410,26.0,8.0,0.0,415,1190,15,2,2,30,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Spicy Chick-n-Strips™️,223g,440,28.0,8.0,0.0,355,1290,21,4,1,26,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Spicy Chicken,231g,460,30.0,9.0,0.0,405,1360,19,2,2,28,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Nuggets - no hash browns,190g,320,20.0,7.0,0.0,415,1100,7,0,2,28,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Sausage - no hash browns,146g,320,26.0,11.0,0.0,395,650,1,0,0,21,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,165g,260,16.0,7.0,0.0,415,840,1,0,1,28,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Spicy Chick-n-Strips™️ - no hash browns,193g,320,19.0,7.0,0.0,360,1210,10,2,2,27,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns,188g,310,20.0,7.0,0.0,405,1110,7,1,2,27,1,1,1,1,0,0
Avocado Lime Ranch Dressing,57g,310,32.0,5.0,0.0,25,520,3,1,2,1,1,1,0,0,0,0
Creamy Salsa Dressing,57g,290,31.0,5.0,0.0,25,630,2,0,1,1,0,1,0,0,0,0
Fat Free Honey Mustard Dressing,57g,90,0.0,0.0,0.0,0,330,23,1,19,0,0,0,0,0,0,0
Garden Herb Ranch Dressing,57g,280,29.0,5.0,0.0,25,450,2,0,1,1,1,1,0,0,0,0
Light Balsamic Vinaigrette Dressing,57g,80,4.0,0.5,0.0,0,360,10,0,9,0,0,0,0,0,0,0
Light Italian Dressing,57g,25,1.0,0.0,0.0,0,470,3,0,2,0,0,0,0,0,0,0
Zesty Apple Cider Vinaigrette Dressing,56g,230,19.0,3.0,0.0,0,460,16,0,14,0,0,0,0,0,0,0
Chick-fil-A® Nuggets,71g,160,7.0,1.5,0.0,50,760,7,0,1,17,1,1,0,1,0,0
Chilled Grilled Chicken Sub Sandwich,230g,440,12.0,5.0,0.0,90,840,47,0,10,35,1,0,1,1,0,0
